statut,categorie,vehicle_id,marque,modele,version,annee,photo_candidate,niveau_confiance,base_de_proposition,commentaire
PROPOSITION_NON_APPLIQUEE,Voitures,60070,BMW,Série 3,Série 3 Edition 31,2021,65488.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60080,BMW,Série 3,Série 3 Edition 41,2024,65489.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2024,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60090,BMW,Série 3,Série 3 Edition 51,2020,65490.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2020,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60100,BMW,Série 3,Série 3 Edition 61,2023,65491.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60110,BMW,Série 3,Série 3 Edition 71,2019,65492.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60120,BMW,Série 3,Série 3 Edition 81,2022,65493.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60130,BMW,Série 3,Série 3 Edition 91,2018,65494.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2018,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60140,BMW,Série 3,Série 3 Edition 101,2021,65495.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60142,BMW,Série 3,Série 3 Export Line 1,2019,65496.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60152,BMW,Série 3,Série 3 Export Line 11,2022,65497.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60162,BMW,Série 3,Série 3 Export Line 21,2018,65498.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2018,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60172,BMW,Série 3,Série 3 Export Line 31,2021,65499.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60182,BMW,Série 3,Série 3 Export Line 41,2024,65500.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2024,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60192,BMW,Série 3,Série 3 Export Line 51,2020,65501.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2020,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60202,BMW,Série 3,Série 3 Export Line 61,2023,65502.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60212,BMW,Série 3,Série 3 Export Line 71,2019,65503.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60222,BMW,Série 3,Série 3 Export Line 81,2022,65504.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60232,BMW,Série 3,Série 3 Export Line 91,2018,65505.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2018,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,6,BMW,X5 xDrive30d,M Sport Package,2023,65522.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW X5 xDrive30d (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,5,John Deere,5075E,Utility Tractor,2022,65526.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule John Deere 5075E (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,4,Mercedes-Benz,Atego 1224,Box Truck + Tail Lift,2020,65527.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Mercedes-Benz Atego 1224 (2020,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,1,Mercedes-Benz,Classe C,200 d Avantgarde,2022,65528.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Mercedes-Benz Classe C (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,30001,Mercedes-Benz,Classe C,C 200 d Avantgarde Estate,2022,65529.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Mercedes-Benz Classe C (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,7,Porsche,911 Carrera S,992 Coupe,2021,65530.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Porsche 911 Carrera S (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,2,Volkswagen,Golf 8,1.5 TSI Life,2024,65531.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf 8 (2024,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,30004,Volkswagen,Golf 8,1.5 TSI Life,2024,65532.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf 8 (2024,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,120007,Volkswagen,Golf VII GTI,2.0 TSI GTI Performance Clubsport Look,2019,65537.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VII GTI (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90002,Volkswagen,Golf VII R,2.0 TSI R Custom Neon,2019,65538.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VII R (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90003,Volkswagen,Golf VII R,2.0 TSI R Stealth Edition,2020,65539.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VII R (2020,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90007,Volkswagen,Golf VII R,2.0 TSI R Turmeric Yellow,2018,65540.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VII R (2018,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90004,Volkswagen,Golf VII.5 GTI,2.0 TSI GTI Performance Nardo,2021,65541.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VII.5 GTI (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90009,Volkswagen,Golf VII.5 R,2.0 TSI R Estate / Variant Olive,2020,65543.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VII.5 R (2020,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,120006,Volkswagen,Golf VIII,1.5 eTSI R-Line DSG Urban Grey,2022,65544.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90010,Volkswagen,Golf VIII GTI,2.0 TSI GTI Pure White,2022,65546.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII GTI (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,120008,Volkswagen,Golf VIII GTI,2.0 TSI GTI Clubsport White Pack,2022,65547.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII GTI (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,120009,Volkswagen,Golf VIII GTI,2.0 TSI GTI Performance White Edition,2021,65548.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII GTI (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90006,Volkswagen,Golf VIII GTI Clubsport,2.0 TSI Clubsport Pure White,2023,65549.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII GTI Clubsport (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90001,Volkswagen,Golf VIII R,2.0 TSI R 4Motion DSG,2023,65550.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII R (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90005,Volkswagen,Golf VIII R,2.0 TSI R Miami Blue,2023,65551.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII R (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90008,Volkswagen,Golf VIII R,2.0 TSI R 'Edition 333',2024,65552.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII R (2024,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,90011,Volkswagen,Golf VIII R,2.0 TSI R Midnight Black,2023,65553.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII R (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,120005,Volkswagen,Golf VIII R,2.0 TSI R Performance White Edition,2023,65554.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Golf VIII R (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,3,Volkswagen,Transporter T6.1,EcoPro Panel Van,2021,65555.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Volkswagen Transporter T6.1 (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60038,MAN,Lion's Coach R08,Lion's Coach R08 Edition 38,2021,65324.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule MAN Lion's Coach R08 (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60077,MAN,Lion's Coach R08,Lion's Coach R08 Edition 38,2021,65325.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule MAN Lion's Coach R08 (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60137,MAN,Lion's Coach R08,Lion's Coach R08 Edition 98,2018,65326.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule MAN Lion's Coach R08 (2018,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60149,MAN,Lion's Coach R08,Lion's Coach R08 Export Line 8,2019,65327.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule MAN Lion's Coach R08 (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60179,MAN,Lion's Coach R08,Lion's Coach R08 Export Line 38,2021,65328.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule MAN Lion's Coach R08 (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60209,MAN,Lion's Coach R08,Lion's Coach R08 Export Line 68,2023,65329.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule MAN Lion's Coach R08 (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60008,MAN,Travego 15 SHD,Travego 15 SHD Edition 8,2019,65330.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule MAN Travego 15 SHD (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60047,MAN,Travego 15 SHD,Travego 15 SHD Edition 8,2019,65331.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule MAN Travego 15 SHD (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60107,MAN,Travego 15 SHD,Travego 15 SHD Edition 68,2023,65332.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule MAN Travego 15 SHD (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60018,Mercedes-Benz,Lion's Coach R08,Lion's Coach R08 Edition 18,2022,65333.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz Lion's Coach R08 (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60057,Mercedes-Benz,Lion's Coach R08,Lion's Coach R08 Edition 18,2022,65334.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz Lion's Coach R08 (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60117,Mercedes-Benz,Lion's Coach R08,Lion's Coach R08 Edition 78,2019,65335.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz Lion's Coach R08 (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,30017,Mercedes-Benz,Tourismo 15 RHD,Coach / Autocar de tourisme,2020,65336.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz Tourismo 15 RHD (2020,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60087,Mercedes-Benz,Travego 15 SHD,Travego 15 SHD Edition 48,2024,65337.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz Travego 15 SHD (2024,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60159,Mercedes-Benz,Travego 15 SHD,Travego 15 SHD Export Line 18,2022,65338.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz Travego 15 SHD (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60189,Mercedes-Benz,Travego 15 SHD,Travego 15 SHD Export Line 48,2024,65339.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz Travego 15 SHD (2024,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,60219,Mercedes-Benz,Travego 15 SHD,Travego 15 SHD Export Line 78,2019,65340.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz Travego 15 SHD (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150009,Mercedes-Benz / Setra,Iveco Crossway,Iveco Crossway Line Euro VI - Édition 2018,2021,65342.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra Iveco Crossway (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150019,Mercedes-Benz / Setra,Iveco Crossway,Iveco Crossway Line Euro VI - Édition 2008,2019,65343.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra Iveco Crossway (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150029,Mercedes-Benz / Setra,Iveco Crossway,Iveco Crossway Line Euro VI - Édition 1998,2023,65344.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra Iveco Crossway (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150005,Mercedes-Benz / Setra,MAN Lion's,MAN Lion's Coach L Euro VI - Édition 2022,2023,65345.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra MAN Lion's (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150015,Mercedes-Benz / Setra,MAN Lion's,MAN Lion's Coach L Euro VI - Édition 2012,2021,65346.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra MAN Lion's (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150025,Mercedes-Benz / Setra,MAN Lion's,MAN Lion's Coach L Euro VI - Édition 2002,2019,65347.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra MAN Lion's (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150035,Mercedes-Benz / Setra,MAN Lion's,MAN Lion's Coach L Euro VI - Édition 1992,2023,65348.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra MAN Lion's (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150002,Mercedes-Benz / Setra,Mercedes-Benz Citaro,Mercedes-Benz Citaro K Hybrid Euro VI - Édition 2025,2020,65349.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Citaro (2020,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150012,Mercedes-Benz / Setra,Mercedes-Benz Citaro,Mercedes-Benz Citaro K Hybrid Euro VI - Édition 2015,2024,65350.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Citaro (2024,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150022,Mercedes-Benz / Setra,Mercedes-Benz Citaro,Mercedes-Benz Citaro K Hybrid Euro VI - Édition 2005,2022,65351.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Citaro (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150032,Mercedes-Benz / Setra,Mercedes-Benz Citaro,Mercedes-Benz Citaro K Hybrid Euro VI - Édition 1995,2020,65352.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Citaro (2020,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150003,Mercedes-Benz / Setra,Mercedes-Benz Intouro,Mercedes-Benz Intouro M Euro VI - Édition 2024,2021,65353.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Intouro (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150013,Mercedes-Benz / Setra,Mercedes-Benz Intouro,Mercedes-Benz Intouro M Euro VI - Édition 2014,2019,65354.jpg,Catégorie forte / modèle à confirmer,Type visuel classé bus) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Intouro (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150023,Mercedes-Benz / Setra,Mercedes-Benz Intouro,Mercedes-Benz Intouro M Euro VI - Édition 2004,2023,65185.jpg,Catégorie forte / modèle à confirmer,Type visuel classé car) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Intouro (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150033,Mercedes-Benz / Setra,Mercedes-Benz Intouro,Mercedes-Benz Intouro M Euro VI - Édition 1994,2021,65188.jpg,Catégorie forte / modèle à confirmer,Type visuel classé car) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Intouro (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150001,Mercedes-Benz / Setra,Mercedes-Benz Tourismo,Mercedes-Benz Tourismo 16 RHD Euro VI - Édition 2026,2019,65190.jpg,Catégorie forte / modèle à confirmer,Type visuel classé car) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Tourismo (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150011,Mercedes-Benz / Setra,Mercedes-Benz Tourismo,Mercedes-Benz Tourismo 16 RHD Euro VI - Édition 2016,2023,65191.jpg,Catégorie forte / modèle à confirmer,Type visuel classé car) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Tourismo (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Bus,150021,Mercedes-Benz / Setra,Mercedes-Benz Tourismo,Mercedes-Benz Tourismo 16 RHD Euro VI - Édition 2006,2021,65192.jpg,Catégorie forte / modèle à confirmer,Type visuel classé general) pour le véhicule Mercedes-Benz / Setra Mercedes-Benz Tourismo (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
