id,brand,model,version,year,mileage,category,priceBrutto,normalizedMainImage,visualCategory,status,identityGroup,provisionalRepresentativeId,groupMemberIds,proof
30009,BMW,M4 Competition,M xDrive Coupe,2023,12000,coupes,89900.00,https://images.unsplash.com/photo-1502877338535-766e1452684a,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
30010,Volkswagen,Transporter T6.1,2.0 TDI Panel Van,2021,64000,vans,29800.00,https://images.unsplash.com/photo-1555215695-3004980ad54e,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30011,Mercedes-Benz,Sprinter 319,CDI L3H2 Panel Van,2022,51000,vans,38900.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30012,Audi,Q4 e-tron,40 Advanced,2024,10,electric,46500.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
30013,Volkswagen,ID.4,Pro Performance,2023,19000,electric,33900.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
30014,Mercedes-Benz,SL 500,R129 Roadster,1996,112000,classics,29500.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
30015,Mercedes-Benz,Atego 1224,Box Truck + Tail Lift,2020,145000,trucks,48000.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30016,MAN,TGM 18.290,Curtainsider 4x2,2021,168000,trucks,52000.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30017,Mercedes-Benz,Tourismo 15 RHD,Coach / Autocar de tourisme,2020,210000,buses,185000.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30018,Setra,S 515 HD,ComfortClass Tourbus,2021,185000,buses,198000.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30019,Mercedes-Benz,Sprinter Transfer 45,Minibus 22+1 places,2022,72000,minibuses,74500.00,https://images.unsplash.com/photo-1502877338535-766e1452684a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30020,Volkswagen,Crafter Minibus,Spaceliner VIP 16+1,2024,15,minibuses,82000.00,https://images.unsplash.com/photo-1555215695-3004980ad54e,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30021,John Deere,6R 250,High-Performance Tractor,2023,950,agricultural,168000.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30022,Fendt,724 Vario,Gen 6 ProfiPlus,2022,1850,agricultural,154000.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60001,BMW,Série 3,Série 3 Edition 1,2019,13700,cars,26450.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,24,60001,"60001,60011,60021,60031",
60002,Audi,Q7 50 TDI,Q7 50 TDI Edition 2,2020,17400,suvs,27900.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60003,Audi,RS5 Coupé,RS5 Coupé Edition 3,2021,21100,coupes,29350.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
60004,Volkswagen,Transporter T6.1,Transporter T6.1 Edition 4,2022,24800,vans,30800.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,unknown,CONFLIT CATEGORIE/PHOTO,75,60004,"60004,60034",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60005,Audi,iX xDrive40,iX xDrive40 Edition 5,2023,28500,electric,32250.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,48,60005,"60005,60035",
60006,BMW,911 Turbo 3.3,911 Turbo 3.3 Edition 6,2024,32200,classics,33700.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,34,60006,"60006,60026",
60007,Volvo,Antos 1832,Antos 1832 Edition 7,2018,35900,trucks,35150.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT CATEGORIE/PHOTO,67,60007,"60007,60027",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60008,MAN,Travego 15 SHD,Travego 15 SHD Edition 8,2019,39600,buses,36600.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60009,Mercedes-Benz,Crafter Transfer,Crafter Transfer Edition 9,2020,43300,minibuses,38050.00,https://images.unsplash.com/photo-1502877338535-766e1452684a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60010,Claas,Axion 870,Axion 870 Edition 10,2021,47000,agricultural,39500.00,https://images.unsplash.com/photo-1555215695-3004980ad54e,unknown,CONFLIT CATEGORIE/PHOTO,4,60010,"60010,60030",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60011,BMW,Série 3,Série 3 Edition 11,2022,50700,cars,40950.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,compatible/inconclusive,REDONDANCE FORTE,24,60001,"60001,60011,60021,60031",same normalized image + same declared brand/model
60012,Audi,Touareg V6,Touareg V6 Edition 12,2023,54400,suvs,42400.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60013,BMW,M4 Competition,M4 Competition Edition 13,2024,58100,coupes,43850.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
60014,MAN,Transporter T6.1,Transporter T6.1 Edition 14,2018,61800,vans,45300.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60015,Audi,Taycan 4S,Taycan 4S Edition 15,2019,65500,electric,46750.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
60016,Mercedes-Benz,911 Turbo 3.3,911 Turbo 3.3 Edition 16,2020,69200,classics,48200.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,36,60016,"60016,60036",
60017,MAN,TGX 18.510,TGX 18.510 Edition 17,2021,72900,trucks,49650.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT CATEGORIE/PHOTO,65,60017,"60017,60037",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60018,Mercedes-Benz,Lion's Coach R08,Lion's Coach R08 Edition 18,2022,76600,buses,51100.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60019,Volkswagen,V-Class VIP,V-Class VIP Edition 19,2023,80300,minibuses,52550.00,https://images.unsplash.com/photo-1502877338535-766e1452684a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60020,John Deere,8R 410,8R 410 Edition 20,2024,84000,agricultural,54000.00,https://images.unsplash.com/photo-1555215695-3004980ad54e,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60021,BMW,Série 3,Série 3 Edition 21,2018,87700,cars,55450.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,compatible/inconclusive,REDONDANCE FORTE,24,60001,"60001,60011,60021,60031",same normalized image + same declared brand/model
60022,Audi,X3 xDrive20d,X3 xDrive20d Edition 22,2019,91400,suvs,56900.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60023,Audi,M850i,M850i Edition 23,2020,95100,coupes,58350.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
60024,Mercedes-Benz,Transporter T6.1,Transporter T6.1 Edition 24,2021,98800,vans,59800.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60025,Audi,i4 M50,i4 M50 Edition 25,2022,102500,electric,61250.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
60026,BMW,911 Turbo 3.3,911 Turbo 3.3 Edition 26,2023,106200,classics,62700.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,compatible/inconclusive,REDONDANCE FORTE,34,60006,"60006,60026",same normalized image + same declared brand/model
60027,Volvo,Antos 1832,Antos 1832 Edition 27,2024,109900,trucks,64150.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT + REDONDANCE FORTE,67,60007,"60007,60027",same normalized image + same declared brand/model; declared heavy/van/agriculture category conflicts with road-car/SUV image
60028,Setra,Travego 15 SHD,Travego 15 SHD Edition 28,2018,113600,buses,65600.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60029,Ford,Crafter Transfer,Crafter Transfer Edition 29,2019,117300,minibuses,67050.00,https://images.unsplash.com/photo-1502877338535-766e1452684a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60030,Claas,Axion 870,Axion 870 Edition 30,2020,121000,agricultural,68500.00,https://images.unsplash.com/photo-1555215695-3004980ad54e,unknown,CONFLIT + REDONDANCE FORTE,4,60010,"60010,60030",same normalized image + same declared brand/model; declared heavy/van/agriculture category conflicts with road-car/SUV image
60031,BMW,Série 3,Série 3 Edition 31,2021,124700,cars,69950.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,compatible/inconclusive,REDONDANCE FORTE,24,60001,"60001,60011,60021,60031",same normalized image + same declared brand/model
60032,Audi,GLE 350d,GLE 350d Edition 32,2022,128400,suvs,71400.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60033,BMW,RS5 Coupé,RS5 Coupé Edition 33,2023,12100,coupes,72850.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
60034,Volkswagen,Transporter T6.1,Transporter T6.1 Edition 34,2024,15800,vans,74300.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,unknown,CONFLIT + REDONDANCE FORTE,75,60004,"60004,60034",same normalized image + same declared brand/model; declared heavy/van/agriculture category conflicts with road-car/SUV image
60035,Audi,iX xDrive40,iX xDrive40 Edition 35,2018,19500,electric,75750.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,compatible/inconclusive,REDONDANCE FORTE,48,60005,"60005,60035",same normalized image + same declared brand/model
60036,Mercedes-Benz,911 Turbo 3.3,911 Turbo 3.3 Edition 36,2019,23200,classics,77200.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,compatible/inconclusive,REDONDANCE FORTE,36,60016,"60016,60036",same normalized image + same declared brand/model
60037,MAN,TGX 18.510,TGX 18.510 Edition 37,2020,26900,trucks,78650.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT + REDONDANCE FORTE,65,60017,"60017,60037",same normalized image + same declared brand/model; declared heavy/van/agriculture category conflicts with road-car/SUV image
60038,MAN,Lion's Coach R08,Lion's Coach R08 Edition 38,2021,30600,buses,80100.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60039,Mercedes-Benz,V-Class VIP,V-Class VIP Edition 39,2022,34300,minibuses,81550.00,https://images.unsplash.com/photo-1502877338535-766e1452684a,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
60040,BMW,Série 3,Série 3 Edition 1,2019,13700,cars,26450.00,https://images.unsplash.com/photo-1555215695-3004980ad54e,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,25,60040,"60040,60050,60060,60070,60080,60090,60100,60110,60120,60130,60140",
60041,Audi,Q7 50 TDI,Q7 50 TDI Edition 2,2020,17400,suvs,27900.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,unknown,CONFLIT CATEGORIE/PHOTO,59,60041,"60041,60081,60121",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60042,Audi,RS5 Coupé,RS5 Coupé Edition 3,2021,21100,coupes,29350.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,39,60042,"60042,60102",
60043,Volkswagen,Transporter T6.1,Transporter T6.1 Edition 4,2022,24800,vans,30800.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,unknown,CONFLIT + REDONDANCE FORTE,30,3,"3,60043,60073,60103,60133",same normalized image + same declared brand/model; declared heavy/van/agriculture category conflicts with road-car/SUV image
60044,Audi,iX xDrive40,iX xDrive40 Edition 5,2023,28500,electric,32250.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,49,60044,"60044,60074,60104,60134",
60045,BMW,911 Turbo 3.3,911 Turbo 3.3 Edition 6,2024,32200,classics,33700.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,33,60045,"60045,60065,60085,60105,60125",
60046,Volvo,Antos 1832,Antos 1832 Edition 7,2018,35900,trucks,35150.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,unknown,CONFLIT CATEGORIE/PHOTO,68,60046,"60046,60066,60086,60106,60126",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60047,MAN,Travego 15 SHD,Travego 15 SHD Edition 8,2019,39600,buses,36600.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT CATEGORIE/PHOTO,9,60047,"60047,60107",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60048,Mercedes-Benz,Crafter Transfer,Crafter Transfer Edition 9,2020,43300,minibuses,38050.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,unknown,CONFLIT CATEGORIE/PHOTO,52,60048,"60048,60108",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60049,Claas,Axion 870,Axion 870 Edition 10,2021,47000,agricultural,39500.00,https://images.unsplash.com/photo-1502877338535-766e1452684a,unknown,CONFLIT CATEGORIE/PHOTO,3,60049,"60049,60069,60089,60109,60129",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60050,BMW,Série 3,Série 3 Edition 11,2022,50700,cars,40950.00,https://images.unsplash.com/photo-1555215695-3004980ad54e,compatible/inconclusive,REDONDANCE FORTE,25,60040,"60040,60050,60060,60070,60080,60090,60100,60110,60120,60130,60140",same normalized image + same declared brand/model
60051,Audi,Touareg V6,Touareg V6 Edition 12,2023,54400,suvs,42400.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,unknown,CONFLIT CATEGORIE/PHOTO,61,60051,"60051,60091,60131",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60052,BMW,M4 Competition,M4 Competition Edition 13,2024,58100,coupes,43850.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,42,60052,"60052,60112",
60053,MAN,Transporter T6.1,Transporter T6.1 Edition 14,2018,61800,vans,45300.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,unknown,CONFLIT CATEGORIE/PHOTO,71,60053,"60053,60083,60113",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60054,Audi,Taycan 4S,Taycan 4S Edition 15,2019,65500,electric,46750.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,45,60054,"60054,60084,60114",
60055,Mercedes-Benz,911 Turbo 3.3,911 Turbo 3.3 Edition 16,2020,69200,classics,48200.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,35,60055,"60055,60075,60095,60115,60135",
60056,MAN,TGX 18.510,TGX 18.510 Edition 17,2021,72900,trucks,49650.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,unknown,CONFLIT CATEGORIE/PHOTO,64,60056,"60056,60076,60096,60116,60136",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60057,Mercedes-Benz,Lion's Coach R08,Lion's Coach R08 Edition 18,2022,76600,buses,51100.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT CATEGORIE/PHOTO,10,60057,"60057,60117",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60058,Volkswagen,V-Class VIP,V-Class VIP Edition 19,2023,80300,minibuses,52550.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,unknown,CONFLIT CATEGORIE/PHOTO,56,60058,"60058,60118",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60059,John Deere,8R 410,8R 410 Edition 20,2024,84000,agricultural,54000.00,https://images.unsplash.com/photo-1502877338535-766e1452684a,unknown,CONFLIT CATEGORIE/PHOTO,5,60059,"60059,60079,60099,60119,60139",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60060,BMW,Série 3,Série 3 Edition 21,2018,87700,cars,55450.00,https://images.unsplash.com/photo-1555215695-3004980ad54e,compatible/inconclusive,REDONDANCE FORTE,25,60040,"60040,60050,60060,60070,60080,60090,60100,60110,60120,60130,60140",same normalized image + same declared brand/model
60061,Audi,X3 xDrive20d,X3 xDrive20d Edition 22,2019,91400,suvs,56900.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,unknown,CONFLIT CATEGORIE/PHOTO,62,60061,"60061,60101,60141",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60062,Audi,M850i,M850i Edition 23,2020,95100,coupes,58350.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,38,60062,"60062,60122",
60063,Mercedes-Benz,Transporter T6.1,Transporter T6.1 Edition 24,2021,98800,vans,59800.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,unknown,CONFLIT CATEGORIE/PHOTO,73,60063,"60063,60093,60123",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60064,Audi,i4 M50,i4 M50 Edition 25,2022,102500,electric,61250.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,46,60064,"60064,60094,60124",
60065,BMW,911 Turbo 3.3,911 Turbo 3.3 Edition 26,2023,106200,classics,62700.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,compatible/inconclusive,REDONDANCE FORTE,33,60045,"60045,60065,60085,60105,60125",same normalized image + same declared brand/model
60066,Volvo,Antos 1832,Antos 1832 Edition 27,2024,109900,trucks,64150.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,unknown,CONFLIT + REDONDANCE FORTE,68,60046,"60046,60066,60086,60106,60126",same normalized image + same declared brand/model; declared heavy/van/agriculture category conflicts with road-car/SUV image
60067,Setra,Travego 15 SHD,Travego 15 SHD Edition 28,2018,113600,buses,65600.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT CATEGORIE/PHOTO,23,60067,"60067,60127",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60068,Ford,Crafter Transfer,Crafter Transfer Edition 29,2019,117300,minibuses,67050.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,unknown,CONFLIT CATEGORIE/PHOTO,50,60068,"60068,60128",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60069,Claas,Axion 870,Axion 870 Edition 30,2020,121000,agricultural,68500.00,https://images.unsplash.com/photo-1502877338535-766e1452684a,unknown,CONFLIT + REDONDANCE FORTE,3,60049,"60049,60069,60089,60109,60129",same normalized image + same declared brand/model; declared heavy/van/agriculture category conflicts with road-car/SUV image
60070,BMW,Série 3,Série 3 Edition 31,2021,124700,cars,69950.00,https://images.unsplash.com/photo-1555215695-3004980ad54e,compatible/inconclusive,REDONDANCE FORTE,25,60040,"60040,60050,60060,60070,60080,60090,60100,60110,60120,60130,60140",same normalized image + same declared brand/model
60071,Audi,GLE 350d,GLE 350d Edition 32,2022,128400,suvs,71400.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,unknown,CONFLIT CATEGORIE/PHOTO,58,60071,"60071,60111",; declared heavy/van/agriculture category conflicts with road-car/SUV image
60072,BMW,RS5 Coupé,RS5 Coupé Edition 33,2023,12100,coupes,72850.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,43,60072,"60072,60132",
60073,Volkswagen,Transporter T6.1,Transporter T6.1 Edition 34,2024,15800,vans,74300.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,unknown,CONFLIT + REDONDANCE FORTE,30,3,"3,60043,60073,60103,60133",same normalized image + same declared brand/model; declared heavy/van/agriculture category conflicts with road-car/SUV image
60074,Audi,iX xDrive40,iX xDrive40 Edition 35,2018,19500,electric,75750.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,compatible/inconclusive,REDONDANCE FORTE,49,60044,"60044,60074,60104,60134",same normalized image + same declared brand/model
60075,Mercedes-Benz,911 Turbo 3.3,911 Turbo 3.3 Edition 36,2019,23200,classics,77200.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,compatible/inconclusive,REDONDANCE FORTE,35,60055,"60055,60075,60095,60115,60135",same normalized image + same declared brand/model
60076,MAN,TGX 18.510,TGX 18.510 Edition 37,2020,26900,trucks,78650.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,unknown,CONFLIT + REDONDANCE FORTE,64,60056,"60056,60076,60096,60116,60136",same normalized image + same declared brand/model; declared heavy/van/agriculture category conflicts with road-car/SUV image
60077,MAN,Lion's Coach R08,Lion's Coach R08 Edition 38,2021,30600,buses,80100.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT CATEGORIE/PHOTO,7,60077,"60077,60137",; declared heavy/van/agriculture category conflicts with road-car/SUV image
